age,salary,rupiah_salary_month,education,dependents,house_ownership,expenses,rupiah_expenses,savings,rupiah_savings,employment_status,vehicle_ownership,area,investment,rupiah_investment,debt,rupiah_debt
62,2.98," Rp2,980,000 ",Doctoral,2,Owned,1.35," Rp1,350,000 ",18.98," Rp18,980,000 ",Unemployment,Motorcycle and Car,Urban,0.00, Rp-   ,2.45," Rp2,454,992.21 "
59,38.75," Rp38,750,000 ",Diploma,2,Leased,2.17," Rp2,170,000 ",18.92," Rp18,920,000 ",Unemployment,No Vehicle,Urban,0.00, Rp-   ,0.79," Rp790,000.00 "
56,2.61," Rp2,610,000 ",ES,2,Leased,3.05," Rp3,050,000 ",1.86," Rp1,860,000 ",Student,Motorcycle and Car,Urban,2.54," Rp2,540,000 ",6.26," Rp6,260,000.00 "
31,13.02," Rp13,020,000 ",Bachelor,3,Leased,15.05," Rp15,050,000 ",4.85," Rp4,850,000 ",Unemployment,No Vehicle,Rural,1.99," Rp1,990,000 ",5.48," Rp5,480,000.00 "
48,6.02," Rp6,020,000 ",SHS,1,Contract,3.57," Rp3,570,000 ",20.24," Rp20,240,000 ",Retired,Car,Urban,0.77," Rp770,000 ",1.71," Rp1,710,000.00 "
22,1.37," Rp1,370,000 ",SHS,4,Leased,1.38," Rp1,380,000 ",32.27," Rp32,270,000 ",Employment,Car,Urban,2.12," Rp2,120,000 ",3.98," Rp3,979,186.69 "
52,12.98," Rp12,980,000 ",SHS,1,Leased,14.09," Rp14,090,000 ",6.55," Rp6,554,264 ",Self-Employment,Motorcycle,Urban,0.00, Rp-   ,5.64," Rp5,640,000.00 "
40,16.82," Rp16,820,000 ",SHS,0,Parents,12.08," Rp12,080,000 ",24.21," Rp24,210,000 ",Employment,Car,Rural,0.00, Rp-   ,3.85," Rp3,850,000.00 "
46,38.71," Rp38,710,000 ",SHS,3,Contract,0.7," Rp700,000 ",40.88," Rp40,880,000 ",Unemployment,Motorcycle and Car,Rural,8.38," Rp8,380,000 ",3.41," Rp3,410,148.14 "
60,4.8," Rp4,800,000 ",SHS,1,Owned,2.0," Rp2,000,000 ",2.51," Rp2,510,000 ",Student,Motorcycle,Suburban,9.28," Rp9,280,000 ",19.25," Rp19,250,000.00 "
28,2.81," Rp2,810,000 ",Diploma,4,Parents,1.2," Rp1,200,000 ",11.56," Rp11,560,000 ",Self-Employment,No Vehicle,Urban,4.93," Rp4,930,000 ",2.38," Rp2,380,000.00 "
35,3.49," Rp3,490,000 ",Bachelor,2,Owned,3.55," Rp3,550,000 ",38.02," Rp38,020,000 ",Employment,Motorcycle,Rural,0.38," Rp380,000 ",5.8," Rp5,800,000.00 "
64,1.99," Rp1,990,000 ",SHS,2,Leased,1.29," Rp1,290,000 ",9.65," Rp9,654,917 ",Unemployment,Motorcycle,Rural,13.16," Rp13,160,000 ",10.76," Rp10,760,000.00 "
29,5.31," Rp5,310,000 ",JHS,3,Owned,4.91," Rp4,910,000 ",6.28," Rp6,280,000 ",Self-Employment,Motorcycle,Rural,0.82," Rp820,000 ",15.33," Rp15,330,000.00 "
26,16.85," Rp16,850,000 ",Diploma,1,Leased,13.22," Rp13,220,000 ",27.38," Rp27,380,000 ",Retired,Motorcycle,Rural,12.69," Rp12,690,000 ",11.32," Rp11,320,000.00 "
27,4.5," Rp4,500,000 ",Diploma,3,Owned,2.95," Rp2,950,000 ",10.24," Rp10,240,000 ",Unemployment,Car,Suburban,17.98," Rp17,980,000 ",3.35," Rp3,351,000.49 "
61,1.43," Rp1,430,000 ",Master,0,Contract,0.59," Rp590,000 ",24.5," Rp24,500,000 ",Employment,Motorcycle,Suburban,2.53," Rp2,530,000 ",1.17," Rp1,170,000.00 "
34,5.84," Rp5,840,000 ",ES,2,Owned,3.5," Rp3,500,000 ",2.7," Rp2,700,000 ",Retired,Motorcycle and Car,Suburban,14.95," Rp14,950,000 ",13.1," Rp13,100,000.00 "
55,3.08," Rp3,080,000 ",Bachelor,0,Owned,3.25," Rp3,250,000 ",16.13," Rp16,130,000 ",Retired,Motorcycle,Suburban,24.32," Rp24,320,000 ",18.88," Rp18,880,000.00 "
24,10.69," Rp10,690,000 ",SHS,0,Contract,11.01," Rp11,010,000 ",9.54," Rp9,540,000 ",Student,No Vehicle,Suburban,8.15," Rp8,150,000 ",0.03," Rp30,000.00 "
63,3.85," Rp3,850,000 ",Diploma,1,Owned,1.25," Rp1,250,000 ",118.33," Rp118,330,000 ",Employment,Motorcycle,Urban,5.57," Rp5,570,000 ",12.09," Rp12,090,000.00 "
30,2.07," Rp2,070,000 ",Bachelor,1,Owned,0.88," Rp880,000 ",17.9," Rp17,900,000 ",Retired,No Vehicle,Rural,8.02," Rp8,020,000 ",10.88," Rp10,880,000.00 "
57,2.06," Rp2,060,000 ",SHS,1,Owned,2.02," Rp2,020,000 ",22.92," Rp22,920,000 ",Student,Motorcycle,Urban,16.37," Rp16,370,000 ",3.0," Rp3,000,000.00 "
59,8.32," Rp8,320,000 ",JHS,2,Owned,5.01," Rp5,010,000 ",2.81," Rp2,810,000 ",Retired,No Vehicle,Urban,9.58," Rp9,580,000 ",7.91," Rp7,910,000.00 "
26,2.54," Rp2,540,000 ",SHS,1,Contract,2.23," Rp2,230,000 ",96.49," Rp96,490,000 ",Unemployment,Motorcycle,Urban,8.31," Rp8,310,000 ",14.96," Rp14,960,000.00 "
67,8.29," Rp8,290,000 ",SHS,2,Leased,6.69," Rp6,690,000 ",1.06," Rp1,060,000 ",Self-Employment,Motorcycle and Car,Rural,5.2," Rp5,200,000 ",1.85," Rp1,850,000.00 "
44,2.15," Rp2,150,000 ",Bachelor,1,Contract,1.91," Rp1,910,000 ",1.47," Rp1,470,000 ",Retired,Motorcycle,Rural,0.26," Rp260,000 ",3.18," Rp3,180,000.00 "
19,2.94," Rp2,940,000 ",Bachelor,1,Leased,1.02," Rp1,020,000 ",1.58," Rp1,580,000 ",Unemployment,Motorcycle,Urban,1.59," Rp1,590,000 ",0.75," Rp750,000.00 "
22,4.13," Rp4,130,000 ",Diploma,2,Leased,4.7," Rp4,700,000 ",40.9," Rp40,900,000 ",Unemployment,Motorcycle,Urban,7.18," Rp7,180,000 ",1.73," Rp1,730,000.00 "
46,15.34," Rp15,340,000 ",SHS,1,Leased,4.89," Rp4,890,000 ",26.08," Rp26,080,000 ",Retired,Car,Urban,10.38," Rp10,380,000 ",10.78," Rp10,780,000.00 "
54,14.42," Rp14,420,000 ",Bachelor,1,Contract,4.43," Rp4,430,000 ",72.28," Rp72,280,000 ",Student,Motorcycle,Rural,0.00, Rp-   ,0.99," Rp990,000.00 "
55,2.16," Rp2,160,000 ",Master,3,Leased,1.09," Rp1,090,000 ",7.87," Rp7,872,360 ",Employment,Motorcycle and Car,Urban,11.37," Rp11,370,000 ",14.24," Rp14,240,000.00 "
36,3.22," Rp3,220,000 ",Diploma,1,Contract,3.85," Rp3,850,000 ",23.53," Rp23,530,000 ",Employment,No Vehicle,Suburban,7.41," Rp7,410,000 ",3.54," Rp3,539,840.85 "
25,1.81," Rp1,810,000 ",SHS,3,Owned,0.66," Rp660,000 ",15.24," Rp15,240,000 ",Self-Employment,No Vehicle,Rural,11.09," Rp11,090,000 ",6.08," Rp6,080,000.00 "
65,4.57," Rp4,570,000 ",JHS,3,Contract,4.97," Rp4,970,000 ",20.39," Rp20,390,000 ",Student,Motorcycle,Rural,7.49," Rp7,490,000 ",3.66," Rp3,655,219.18 "
62,4.09," Rp4,090,000 ",Diploma,2,Contract,1.81," Rp1,810,000 ",14.39," Rp14,390,000 ",Unemployment,No Vehicle,Rural,5.58," Rp5,580,000 ",1.33," Rp1,330,000.00 "
18,12.55," Rp12,550,000 ",SHS,0,Leased,5.72," Rp5,722,486 ",22.5," Rp22,500,000 ",Unemployment,Motorcycle,Suburban,3.77," Rp3,770,000 ",3.29," Rp3,290,000.00 "
39,14.3," Rp14,300,000 ",Bachelor,1,Contract,14.32," Rp14,320,000 ",47.52," Rp47,520,000 ",Unemployment,Motorcycle,Suburban,1.82," Rp1,820,000 ",2.88," Rp2,879,205.18 "
69,3.42," Rp3,420,000 ",Bachelor,2,Parents,3.63," Rp3,630,000 ",17.71," Rp17,710,000 ",Self-Employment,Motorcycle,Urban,0.9," Rp900,000 ",3.67," Rp3,670,000.00 "
34,4.38," Rp4,380,000 ",Bachelor,1,Owned,4.44," Rp4,440,000 ",8.23," Rp8,234,830 ",Unemployment,Motorcycle,Suburban,0.00, Rp-   ,0.53," Rp530,000.00 "
24,12.33," Rp12,330,000 ",Diploma,0,Leased,6.37," Rp6,370,000 ",30.48," Rp30,480,000 ",Student,Motorcycle,Urban,7.84," Rp7,840,000 ",12.48," Rp12,480,000.00 "
42,9.22," Rp9,220,000 ",ES,2,Contract,10.07," Rp10,070,000 ",40.04," Rp40,040,000 ",Student,No Vehicle,Urban,43.93," Rp43,930,000 ",1.6," Rp1,600,000.00 "
62,1.02," Rp1,020,000 ",SHS,2,Leased,0.37," Rp370,000 ",21.53," Rp21,530,000 ",Student,No Vehicle,Rural,18.57," Rp18,570,000 ",5.03," Rp5,030,000.00 "
21,42.44," Rp42,440,000 ",Master,3,Owned,1.78," Rp1,780,000 ",7.19," Rp7,193,434 ",Retired,Motorcycle,Rural,1.24," Rp1,240,000 ",5.22," Rp5,220,000.00 "
53,3.74," Rp3,740,000 ",Bachelor,1,Parents,2.68," Rp2,680,000 ",1.44," Rp1,440,000 ",Employment,Car,Suburban,20.5," Rp20,500,000 ",1.44," Rp1,440,000.00 "
23,2.3," Rp2,300,000 ",SHS,1,Leased,0.83," Rp830,000 ",36.02," Rp36,020,000 ",Unemployment,Motorcycle,Urban,14.97," Rp14,970,000 ",28.66," Rp28,660,000.00 "
48,2.11," Rp2,110,000 ",JHS,4,Owned,1.73," Rp1,730,000 ",5.54," Rp5,540,000 ",Student,Motorcycle,Suburban,43.96," Rp43,960,000 ",3.3," Rp3,300,000.00 "
36,1.19," Rp1,190,000 ",SHS,2,Contract,0.96," Rp960,000 ",0.75," Rp750,000 ",Employment,Motorcycle and Car,Rural,21.95," Rp21,950,000 ",7.03," Rp7,030,000.00 "
61,6.16," Rp6,160,000 ",SHS,2,Owned,7.35," Rp7,350,000 ",14.64," Rp14,640,000 ",Retired,Motorcycle,Urban,4.42," Rp4,420,000 ",0.16," Rp160,000.00 "
56,2.52," Rp2,520,000 ",Diploma,2,Leased,2.17," Rp2,170,000 ",20.02," Rp20,020,000 ",Retired,Motorcycle,Rural,10.27," Rp10,270,000 ",2.78," Rp2,782,215.83 "
44,1.27," Rp1,270,000 ",Master,3,Contract,0.84," Rp840,000 ",21.68," Rp21,680,000 ",Student,Motorcycle,Urban,0.00, Rp-   ,0.56," Rp560,000.00 "
27,2.31," Rp2,310,000 ",SHS,3,Owned,2.34," Rp2,340,000 ",22.16," Rp22,160,000 ",Employment,Motorcycle,Suburban,28.35," Rp28,350,000 ",2.14," Rp2,140,000.00 "
43,9.1," Rp9,100,000 ",ES,1,Leased,5.47," Rp5,470,000 ",21.21," Rp21,210,000 ",Student,Motorcycle and Car,Suburban,1.9," Rp1,900,000 ",6.81," Rp6,810,000.00 "
36,10.54," Rp10,540,000 ",Bachelor,1,Owned,8.22," Rp8,220,000 ",33.03," Rp33,030,000 ",Employment,Car,Urban,5.82," Rp5,820,000 ",0.76," Rp760,000.00 "
56,4.3," Rp4,300,000 ",ES,3,Parents,1.5," Rp1,500,000 ",29.34," Rp29,340,000 ",Self-Employment,Motorcycle,Suburban,8.7," Rp8,700,000 ",2.67," Rp2,670,000.00 "
20,3.69," Rp3,690,000 ",Master,3,Leased,2.18," Rp2,180,000 ",33.52," Rp33,520,000 ",Self-Employment,No Vehicle,Rural,0.06," Rp60,000 ",1.09," Rp1,090,000.00 "
62,20.05," Rp20,050,000 ",Diploma,2,Leased,15.54," Rp15,540,000 ",12.33," Rp12,330,000 ",Self-Employment,No Vehicle,Urban,1.58," Rp1,580,000 ",1.29," Rp1,290,000.00 "
30,2.12," Rp2,120,000 ",Master,2,Contract,1.98," Rp1,980,000 ",1.3," Rp1,300,000 ",Retired,Motorcycle,Rural,10.42," Rp10,420,000 ",0.25," Rp250,000.00 "
67,33.19," Rp33,190,000 ",JHS,3,Leased,0.86," Rp860,000 ",20.41," Rp20,410,000 ",Student,Motorcycle,Urban,6.39," Rp6,390,000 ",3.55," Rp3,550,000.00 "
45,2.73," Rp2,730,000 ",ES,2,Owned,2.78," Rp2,780,000 ",4.72," Rp4,720,000 ",Unemployment,Motorcycle,Suburban,2.99," Rp2,990,000 ",3.98," Rp3,976,580.64 "
37,1.95," Rp1,950,000 ",SHS,2,Leased,2.16," Rp2,160,000 ",39.25," Rp39,250,000 ",Student,Motorcycle,Urban,2.1," Rp2,100,000 ",1.84," Rp1,840,000.00 "
45,3.39," Rp3,390,000 ",SHS,3,Owned,1.87," Rp1,870,000 ",25.58," Rp25,580,000 ",Student,Motorcycle and Car,Rural,14.08," Rp14,080,000 ",2.21," Rp2,210,000.00 "
25,13.09," Rp13,090,000 ",SHS,1,Owned,12.94," Rp12,940,000 ",29.04," Rp29,040,000 ",Employment,Car,Urban,6.87," Rp6,870,000 ",1.29," Rp1,290,000.00 "
58,5.78," Rp5,780,000 ",Master,3,Contract,2.67," Rp2,670,000 ",6.75," Rp6,750,000 ",Retired,Car,Urban,3.4," Rp3,400,000 ",3.05," Rp3,051,317.96 "
56,3.65," Rp3,650,000 ",Bachelor,0,Owned,2.81," Rp2,810,000 ",20.05," Rp20,050,000 ",Self-Employment,No Vehicle,Rural,4.19," Rp4,190,000 ",0.46," Rp460,000.00 "
18,14.62," Rp14,620,000 ",Diploma,3,Parents,14.88," Rp14,880,000 ",15.02," Rp15,020,000 ",Unemployment,Motorcycle,Suburban,14.38," Rp14,380,000 ",6.14," Rp6,140,000.00 "
20,1.25," Rp1,250,000 ",JHS,1,Contract,0.81," Rp810,000 ",6.25," Rp6,250,000 ",Student,No Vehicle,Rural,4.69," Rp4,690,000 ",1.72," Rp1,720,000.00 "
30,2.18," Rp2,180,000 ",SHS,4,Owned,5.86," Rp5,860,275 ",33.45," Rp33,450,000 ",Employment,Motorcycle,Rural,4.99," Rp4,990,000 ",3.58," Rp3,580,000.00 "
45,5.17," Rp5,170,000 ",Bachelor,2,Owned,4.06," Rp4,060,000 ",15.97," Rp15,970,000 ",Student,Car,Rural,7.26," Rp7,260,000 ",0.61," Rp610,000.00 "
66,5.78," Rp5,780,000 ",SHS,3,Owned,6.13," Rp6,130,000 ",4.23," Rp4,230,000 ",Unemployment,Motorcycle,Urban,0.62," Rp620,000 ",0.13," Rp130,000.00 "
42,1.2," Rp1,200,000 ",Master,2,Leased,0.48," Rp480,000 ",7.28," Rp7,280,000 ",Retired,No Vehicle,Suburban,12.75," Rp12,750,000 ",2.15," Rp2,150,000.00 "
50,3.58," Rp3,580,000 ",JHS,1,Owned,1.17," Rp1,170,000 ",5.15," Rp5,150,000 ",Retired,Motorcycle,Suburban,0.00, Rp-   ,5.58," Rp5,580,000.00 "
55,6.24," Rp6,240,000 ",SHS,2,Owned,6.42," Rp6,420,000 ",7.49," Rp7,490,000 ",Student,Car,Suburban,21.74," Rp21,740,000 ",2.99," Rp2,990,000.00 "
23,6.99," Rp6,990,000 ",ES,3,Leased,3.78," Rp3,780,000 ",4.17," Rp4,170,000 ",Employment,Motorcycle,Rural,7.8," Rp7,800,000 ",3.46," Rp3,461,218.01 "
61,6.08," Rp6,080,000 ",Bachelor,3,Owned,3.82," Rp3,820,000 ",9.25," Rp9,247,481 ",Student,Motorcycle,Suburban,28.39," Rp28,390,000 ",5.31," Rp5,310,000.00 "
62,2.93," Rp2,930,000 ",Master,1,Parents,1.11," Rp1,110,000 ",23.68," Rp23,680,000 ",Self-Employment,Motorcycle,Urban,5.15," Rp5,150,000 ",3.04," Rp3,044,057.79 "
49,1.49," Rp1,490,000 ",SHS,1,Owned,0.58," Rp580,000 ",8.48," Rp8,481,413 ",Self-Employment,Motorcycle,Suburban,40.98," Rp40,980,000 ",9.59," Rp9,590,000.00 "
62,3.79," Rp3,790,000 ",SHS,1,Contract,3.23," Rp3,230,000 ",4.73," Rp4,730,000 ",Self-Employment,Car,Urban,9.41," Rp9,410,000 ",1.57," Rp1,570,000.00 "
64,1.69," Rp1,690,000 ",ES,6,Leased,1.35," Rp1,350,000 ",7.13," Rp7,130,000 ",Student,Motorcycle,Suburban,1.32," Rp1,320,000 ",0.04," Rp40,000.00 "
38,15.75," Rp15,750,000 ",JHS,3,Contract,6.17," Rp6,170,568 ",0.04," Rp40,000 ",Unemployment,Motorcycle,Urban,8.27," Rp8,270,000 ",0.25," Rp250,000.00 "
33,4.22," Rp4,220,000 ",SHS,2,Owned,2.99," Rp2,990,000 ",5.11," Rp5,110,000 ",Employment,Motorcycle and Car,Urban,0.54," Rp540,000 ",1.23," Rp1,230,000.00 "
38,2.91," Rp2,910,000 ",JHS,1,Contract,7.06," Rp7,055,202 ",10.84," Rp10,840,000 ",Student,Motorcycle,Urban,5.8," Rp5,800,000 ",0.58," Rp580,000.00 "
28,8.27," Rp8,270,000 ",SHS,0,Owned,7.65," Rp7,650,000 ",12.39," Rp12,390,000 ",Student,No Vehicle,Rural,11.18," Rp11,180,000 ",1.68," Rp1,680,000.00 "
54,4.45," Rp4,450,000 ",Bachelor,2,Leased,7.34," Rp7,340,209 ",7.93," Rp7,930,623 ",Unemployment,Motorcycle,Suburban,1.45," Rp1,450,000 ",4.61," Rp4,610,000.00 "
53,2.86," Rp2,860,000 ",SHS,0,Leased,2.83," Rp2,830,000 ",3.26," Rp3,260,000 ",Employment,Car,Suburban,1.79," Rp1,790,000 ",7.27," Rp7,270,000.00 "
52,9.36," Rp9,360,000 ",Bachelor,2,Owned,2.85," Rp2,850,000 ",9.43," Rp9,433,852 ",Employment,No Vehicle,Rural,14.37," Rp14,370,000 ",0.85," Rp850,000.00 "
36,11.09," Rp11,090,000 ",ES,0,Leased,4.32," Rp4,320,000 ",10.53," Rp10,530,000 ",Self-Employment,No Vehicle,Urban,3.18," Rp3,180,000 ",4.28," Rp4,280,000.00 "
37,6.59," Rp6,590,000 ",SHS,2,Leased,4.52," Rp4,520,000 ",11.11," Rp11,110,000 ",Self-Employment,No Vehicle,Rural,19.26," Rp19,260,000 ",11.35," Rp11,350,000.00 "
35,1.24," Rp1,240,000 ",SHS,1,Owned,1.32," Rp1,320,000 ",45.07," Rp45,070,000 ",Employment,Car,Urban,9.53," Rp9,530,000 ",6.79," Rp6,790,000.00 "
64,5.18," Rp5,180,000 ",JHS,2,Owned,2.66," Rp2,660,000 ",6.00," Rp5,999,364 ",Retired,Motorcycle,Urban,7.91," Rp7,910,000 ",0.84," Rp840,000.00 "
58,8.2," Rp8,200,000 ",JHS,3,Owned,8.95," Rp8,950,000 ",9.83," Rp9,830,000 ",Retired,Motorcycle and Car,Suburban,5.03," Rp5,030,000 ",5.15," Rp5,150,000.00 "
66,1.73," Rp1,730,000 ",Bachelor,3,Owned,0.69," Rp690,000 ",5.85," Rp5,850,000 ",Retired,Motorcycle,Urban,31.92," Rp31,920,000 ",3.26," Rp3,260,000.00 "
31,2.3," Rp2,300,000 ",Master,1,Leased,0.84," Rp840,000 ",8.21," Rp8,209,431 ",Unemployment,Motorcycle and Car,Suburban,9.79," Rp9,790,000 ",1.44," Rp1,440,000.00 "
32,11.71," Rp11,710,000 ",ES,3,Leased,13.14," Rp13,140,000 ",39.59," Rp39,590,000 ",Unemployment,Motorcycle,Suburban,0.81," Rp810,000 ",3.75," Rp3,750,000.00 "
48,1.1," Rp1,100,000 ",SHS,2,Contract,0.49," Rp490,000 ",67.11," Rp67,110,000 ",Retired,Motorcycle and Car,Urban,0.00, Rp-   ,0.88," Rp880,000.00 "
18,7.99," Rp7,990,000 ",Master,3,Owned,5.73," Rp5,730,000 ",9.47," Rp9,470,000 ",Student,Motorcycle,Suburban,1.31," Rp1,310,000 ",1.9," Rp1,900,000.00 "
20,38.66," Rp38,660,000 ",ES,1,Leased,2.5," Rp2,500,000 ",4.69," Rp4,690,000 ",Student,No Vehicle,Suburban,13.27," Rp13,270,000 ",2.22," Rp2,220,000.00 "
33,3.96," Rp3,960,000 ",Bachelor,1,Contract,1.71," Rp1,710,000 ",49.19," Rp49,190,000 ",Employment,No Vehicle,Suburban,2.88," Rp2,880,000 ",2.04," Rp2,040,000.00 "
40,1.04," Rp1,040,000 ",SHS,3,Leased,0.9," Rp900,000 ",3.12," Rp3,120,000 ",Student,Motorcycle,Rural,0.16," Rp160,000 ",0.48," Rp480,000.00 "
28,9.56," Rp9,560,000 ",Master,2,Owned,11.16," Rp11,160,000 ",7.06," Rp7,060,000 ",Unemployment,Motorcycle,Suburban,51.69," Rp51,690,000 ",2.73," Rp2,728,671.12 "
29,3.23," Rp3,230,000 ",SHS,5,Contract,2.88," Rp2,880,000 ",4.57," Rp4,570,000 ",Unemployment,Motorcycle,Urban,6.39," Rp6,390,000 ",9.24," Rp9,240,000.00 "
27,4.89," Rp4,890,000 ",JHS,4,Owned,3.02," Rp3,020,000 ",16.69," Rp16,690,000 ",Student,No Vehicle,Urban,0.36," Rp360,000 ",9.12," Rp9,120,000.00 "
49,6.66," Rp6,660,000 ",JHS,1,Owned,6.26," Rp6,260,000 ",10.51," Rp10,510,000 ",Unemployment,Car,Suburban,6.07," Rp6,070,000 ",2.73," Rp2,730,000.00 "
33,7.06," Rp7,060,000 ",Bachelor,1,Owned,6.62," Rp6,622,408 ",6.77," Rp6,770,000 ",Employment,Motorcycle,Suburban,3.19," Rp3,190,000 ",0.06," Rp60,000.00 "
25,16.62," Rp16,620,000 ",Master,1,Owned,13.66," Rp13,660,000 ",29.21," Rp29,210,000 ",Employment,No Vehicle,Suburban,12.95," Rp12,950,000 ",4.33," Rp4,330,000.00 "
55,4.79," Rp4,790,000 ",Diploma,0,Owned,3.46," Rp3,460,000 ",21.82," Rp21,820,000 ",Self-Employment,Car,Suburban,0.08," Rp80,000 ",4.53," Rp4,530,000.00 "
29,3.55," Rp3,550,000 ",Master,2,Owned,2.22," Rp2,220,000 ",108.12," Rp108,120,000 ",Unemployment,No Vehicle,Urban,1.47," Rp1,470,000 ",9.7," Rp9,700,000.00 "
41,16.36," Rp16,360,000 ",SHS,1,Contract,6.30," Rp6,300,059 ",7.48," Rp7,480,000 ",Unemployment,Car,Rural,4.37," Rp4,370,000 ",9.11," Rp9,110,000.00 "
45,6.14," Rp6,140,000 ",Diploma,0,Leased,2.5," Rp2,500,000 ",7.13," Rp7,132,093 ",Employment,No Vehicle,Suburban,0.00, Rp-   ,7.46," Rp7,460,000.00 "
25,36.15," Rp36,150,000 ",Bachelor,2,Owned,2.16," Rp2,160,000 ",7.21," Rp7,210,000 ",Retired,Motorcycle and Car,Urban,6.69," Rp6,690,000 ",9.72," Rp9,720,000.00 "
45,1.68," Rp1,680,000 ",Diploma,2,Parents,1.8," Rp1,800,000 ",0.18," Rp180,000 ",Employment,Car,Urban,4.36," Rp4,360,000 ",1.43," Rp1,430,000.00 "
53,44.44," Rp44,440,000 ",SHS,4,Owned,4.93," Rp4,930,000 ",3.27," Rp3,270,000 ",Unemployment,Motorcycle,Suburban,5.09," Rp5,090,000 ",4.19," Rp4,190,000.00 "
43,3.25," Rp3,250,000 ",Bachelor,1,Owned,1.75," Rp1,750,000 ",14.2," Rp14,200,000 ",Retired,Motorcycle,Suburban,6.63," Rp6,630,000 ",3.13," Rp3,129,870.49 "
25,6.4," Rp6,400,000 ",Bachelor,2,Owned,5.73," Rp5,730,000 ",7.63," Rp7,632,180 ",Retired,Motorcycle,Urban,26.93," Rp26,930,000 ",3.78," Rp3,780,000.00 "
67,4.18," Rp4,180,000 ",SHS,0,Parents,4.16," Rp4,160,000 ",1.18," Rp1,180,000 ",Unemployment,Car,Suburban,7.48," Rp7,480,000 ",10.99," Rp10,990,000.00 "
45,2.11," Rp2,110,000 ",SHS,2,Owned,1.17," Rp1,170,000 ",35.68," Rp35,680,000 ",Self-Employment,No Vehicle,Rural,5.63," Rp5,630,000 ",11.88," Rp11,880,000.00 "
45,5.6," Rp5,600,000 ",Bachelor,2,Owned,3.49," Rp3,490,000 ",25.18," Rp25,180,000 ",Employment,Motorcycle and Car,Suburban,0.49," Rp490,000 ",0.36," Rp360,000.00 "
54,1.31," Rp1,310,000 ",Diploma,2,Contract,1.27," Rp1,270,000 ",0.7," Rp700,000 ",Unemployment,Car,Rural,1.62," Rp1,620,000 ",12.35," Rp12,350,000.00 "
58,3.67," Rp3,670,000 ",Master,3,Leased,2.04," Rp2,040,000 ",2.25," Rp2,250,000 ",Student,Motorcycle,Urban,14.15," Rp14,150,000 ",3.21," Rp3,208,306.08 "
53,4.96," Rp4,960,000 ",JHS,2,Leased,4.46," Rp4,460,000 ",1.57," Rp1,570,000 ",Unemployment,Motorcycle and Car,Suburban,31.83," Rp31,830,000 ",2.57," Rp2,570,000.00 "
44,3.86," Rp3,860,000 ",Diploma,1,Owned,1.71," Rp1,710,000 ",22.73," Rp22,730,000 ",Student,Motorcycle,Urban,4.84," Rp4,840,000 ",6.97," Rp6,970,000.00 "
34,7.9," Rp7,900,000 ",JHS,0,Leased,5.29," Rp5,290,000 ",16.47," Rp16,470,000 ",Student,No Vehicle,Urban,32.7," Rp32,700,000 ",0.37," Rp370,000.00 "
26,9.8," Rp9,800,000 ",Master,2,Owned,9.01," Rp9,010,000 ",8.89," Rp8,890,000 ",Unemployment,Motorcycle,Suburban,3.98," Rp3,980,000 ",2.52," Rp2,520,000.00 "
50,8.38," Rp8,380,000 ",ES,2,Parents,5.98," Rp5,980,000 ",1.85," Rp1,850,000 ",Unemployment,Motorcycle,Urban,30.39," Rp30,390,000 ",1.34," Rp1,340,000.00 "
37,1.2," Rp1,200,000 ",Diploma,1,Owned,0.38," Rp380,000 ",9.98," Rp9,980,000 ",Self-Employment,Motorcycle,Suburban,9.4," Rp9,400,000 ",6.12," Rp6,120,000.00 "
30,2.08," Rp2,080,000 ",Bachelor,0,Owned,1.38," Rp1,380,000 ",22.92," Rp22,920,000 ",Self-Employment,No Vehicle,Suburban,0.29," Rp290,000 ",10.16," Rp10,160,000.00 "
45,4.85," Rp4,850,000 ",SHS,4,Contract,2.71," Rp2,710,000 ",1.96," Rp1,960,000 ",Unemployment,Motorcycle,Suburban,0.81," Rp810,000 ",7.29," Rp7,290,000.00 "
65,14.65," Rp14,650,000 ",Master,1,Contract,5.73," Rp5,730,000 ",38.84," Rp38,840,000 ",Unemployment,Car,Urban,39.0," Rp39,000,000 ",3.99," Rp3,990,000.00 "
46,10.01," Rp10,010,000 ",Bachelor,1,Contract,3.09," Rp3,090,000 ",6.27," Rp6,266,999 ",Self-Employment,Motorcycle,Suburban,3.64," Rp3,640,000 ",9.27," Rp9,270,000.00 "
30,10.24," Rp10,240,000 ",SHS,2,Owned,5.26," Rp5,264,415 ",6.16," Rp6,159,878 ",Retired,Car,Rural,0.00, Rp-   ,9.69," Rp9,690,000.00 "
63,2.81," Rp2,810,000 ",ES,2,Leased,3.24," Rp3,240,000 ",4.19," Rp4,190,000 ",Retired,Motorcycle and Car,Urban,0.81," Rp810,000 ",3.42," Rp3,420,000.00 "
52,3.81," Rp3,810,000 ",SHS,0,Contract,3.71," Rp3,710,000 ",1.92," Rp1,920,000 ",Student,Car,Urban,0.00, Rp-   ,9.65," Rp9,650,000.00 "
23,4.18," Rp4,180,000 ",SHS,1,Owned,4.79," Rp4,790,000 ",8.77," Rp8,770,000 ",Student,Motorcycle,Rural,2.59," Rp2,590,000 ",11.13," Rp11,130,000.00 "
